"rankid","rank","artist","song","year","geniuslyrics","artist_primary","decade","wordcount"
"2835","35","The Bangles","A Hazy Shade of Winter","1988",,"The Bangles","1980's","13275"
"57","57","Bill Black's Combo","White Silver Sands","1960",,"Bill Black's Combo","1960's","12929"
"326","26","Little Peggy March","I Will Follow Him","1963",,"Little Peggy March","1960's","16715"
"1002","2","The Carpenters","(They Long to Be) Close to You","1970",,"The Carpenters","1970's","7902"
"1191","91","Neil Diamond","I Am...I Said","1971",,"Neil Diamond","1970's","11735"
"4215","15","P. Diddy featuring Usher and Loon","I Need a Girl (Part One)","2002",,"P. Diddy ","2000's","5781"
"3795","95","The Cranberries","When You're Gone / Free to Decide","1997",,"The Cranberries","1990's","9085"
"1285","85","Harry Chapin","Taxi","1972",,"Harry Chapin","1970's","1334"
"3454","54","Bruce Springsteen","Streets of Philadelphia","1994",,"Bruce Springsteen","1990's","5781"
"1163","63","Brewer & Shipley","One Toke Over the Line","1971",,"Brewer & Shipley","1970's","1334"
"1156","56","Chicago","Beginnings / Colour My World	","1971",,"Chicago","1970's","6730"
"3586","86","D'Angelo","Brown Sugar","1995",,"D'Angelo","1990's","1334"
"3026","26","Snap!","The Power","1990",,"Snap!","1990's","5781"
"2116","16","Raydio","A Woman Needs Love (Just Like You Do)","1981",,"Raydio","1980's","9128"
"2829","29","Phil Collins","A Groovy Kind of Love","1988",,"Phil Collins","1980's","5781"
"3703","3","Puff Daddy featuring Faith Evans and 112","I'll Be Missing You","1997",,"Puff Daddy ","1990's","5781"
"1573","73","Paul Anka & Odia Coates","I Don't Like to Sleep Alone","1975",,"Paul Anka & Odia Coates","1970's","8166"
"1244","44","Cat Stevens","Morning Has Broken","1972",,"Cat Stevens","1970's","5781"
"3542","42","Method Man featuring Mary J. Blige","I'll Be There for You/You're All I Need to Get By","1995",,"Method Man ","1990's","1691"
"4124","24","Christina Aguilera, Lil' Kim, Mýa and Pink","Lady Marmalade","2001",,"Christina Aguilera, Lil' Kim, Mýa and Pink","2000's","1682"
"5527","27","Selena Gomez featuring ASAP Rocky","Good for You","2015",,"Selena Gomez ","2010's","697"
"897","97","Creedence Clearwater Revival","Suzie Q.","1968",,"Creedence Clearwater Revival","1960's","1682"
"3633","33","Coolio featuring L.V.","Gangsta's Paradise","1996",,"Coolio ","1990's","2525"
"5443","43","Kid Ink featuring Chris Brown","Show Me","2014",,"Kid Ink ","2010's","1640"
"5348","48","J. Cole featuring Miguel","Power Trip","2013",,"J. Cole ","2010's","2428"
"5840","40","The Weeknd and Kendrick Lamar","Pray for Me","2018",,"The Weeknd and Kendrick Lamar","2010's","1499"
"4314","14","50 Cent featuring Nate Dogg","21 Questions","2003",,"50 Cent ","2000's","2061"
"2326","26","The Pretenders","Back on the Chain Gang","1983",,"The Pretenders","1980's","2034"
"2067","67","Bob Seger and the Silver Bullet Band","Fire Lake","1980",,"Bob Seger and the Silver Bullet Band","1980's","4788"
"2921","21","Milli Vanilli","Blame It on the Rain","1989",,"Milli Vanilli","1980's","701"
"3046","46","Milli Vanilli","Blame It on the Rain","1990",,"Milli Vanilli","1990's","701"
"5519","19","Skrillex and Diplo featuring Justin Bieber","Where Are Ü Now","2015",,"Skrillex and Diplo ","2010's","697"
"5427","27","Jessie J, Ariana Grande and Nicki Minaj","Bang Bang","2014",,"Jessie J, Ariana Grande and Nicki Minaj","2010's","697"
"5580","80","Jessie J, Ariana Grande and Nicki Minaj","Bang Bang","2015",,"Jessie J, Ariana Grande and Nicki Minaj","2010's","697"
"3033","33","New Kids on the Block","Step by Step","1990",,"New Kids on the Block","1990's","5781"
"81","81","Spencer Ross","Tracy's Theme","1960",,"Spencer Ross","1960's","26217"
"1505","5","Frankie Valli","My Eyes Adored You","1975",,"Frankie Valli","1970's","39718"
