rankid,rank,song,artist,year
"1171","71","Wham Bam","Silver","1976"
"1172","72","I'm Easy","Keith Carradine","1976"
"1173","73","Wake Up Everybody","Harold Melvin & the Blue Notes","1976"
"1174","74","Summer","War","1976"
"1175","75","Let Her In","John Travolta","1976"
"1176","76","Fox on the Run","Sweet","1976"
"1177","77","Rhiannon","Fleetwood Mac","1976"
"1178","78","Got to Get You into My Life","The Beatles","1976"
"1179","79","Fanny (Be Tender with My Love)","Bee Gees","1976"
"1180","80","Getaway","Earth, Wind & Fire","1976"
"1181","81","She's Gone","Hall & Oates","1976"
"1182","82","Still the One","Orleans","1976"
"1183","83","You're My Best Friend","Queen","1976"
"1184","84","With Your Love","Jefferson Starship","1976"
"1185","85","Slow Ride","Foghat","1976"
"1186","86","Who'd She Coo?","Ohio Players","1976"
"1187","87","The Boys Are Back in Town","Thin Lizzy","1976"
"1188","88","Walk Away from Love","David Ruffin","1976"
"1189","89","Baby, I Love Your Way (Live)","Peter Frampton","1976"
"1190","90","Young Hearts Run Free","Candi Staton","1976"
"1191","91","Breaking Up Is Hard to Do","Neil Sedaka","1976"
"1192","92","Money Honey","Bay City Rollers","1976"
"1193","93","Give Up the Funk (Tear the Roof off the Sucker)","Parliament","1976"
"1194","94","Junk Food Junkie","Larry Groce","1976"
"1195","95","Tryin' to Get the Feeling Again","Barry Manilow","1976"
"1196","96","Rock and Roll All Nite","Kiss","1976"
"1197","97","Disco Duck","Rick Dees & His Cast of Idiots","1976"
"1198","98","Take the Money and Run","Steve Miller Band","1976"
"1199","99","Squeeze Box","The Who","1976"
"1200","100","Country Boy (You Got Your Feet in L.A.)","Glen Campbell","1976"
"1201","1","Tonight's the Night (Gonna Be Alright)","Rod Stewart","1977"
"1202","2","I Just Want to Be Your Everything","Andy Gibb","1977"
"1203","3","Best of My Love","The Emotions","1977"
"1204","4","Evergreen (Love Theme from A Star Is Born)","Barbra Streisand","1977"
"1205","5","Angel in Your Arms","Hot","1977"
"1206","6","I Like Dreamin'","Kenny Nolan","1977"
"1207","7","Don't Leave Me This Way","Thelma Houston","1977"
"1208","8","(Your Love Has Lifted Me) Higher and Higher","Rita Coolidge","1977"
"1209","9","Undercover Angel","Alan O'Day","1977"
"1210","10","Torn Between Two Lovers","Mary MacGregor","1977"
"1211","11","I'm Your Boogie Man","KC and the Sunshine Band","1977"
"1212","12","Dancing Queen","ABBA","1977"
"1213","13","You Make Me Feel Like Dancing","Leo Sayer","1977"
"1214","14","Margaritaville","Jimmy Buffett","1977"
"1215","15","Telephone Line","Electric Light Orchestra","1977"
"1216","16","Whatcha Gonna Do?","Pablo Cruise","1977"
"1217","17","Do You Wanna Make Love","Peter McCann","1977"
"1218","18","Sir Duke","Stevie Wonder","1977"
"1219","19","Hotel California","Eagles","1977"
"1220","20","Got to Give It Up","Marvin Gaye","1977"
"1221","21","Gonna Fly Now","Bill Conti, DeEtta Little and Nelson Pigford","1977"
"1222","22","Southern Nights","Glen Campbell","1977"
"1223","23","Rich Girl","Hall & Oates","1977"
"1224","24","When I Need You","Leo Sayer","1977"
"1225","25","Hot Line","The Sylvers","1977"
"1226","26","Car Wash","Rose Royce","1977"
"1227","27","You Don't Have to Be a Star (To Be in My Show)","Marilyn McCoo & Billy Davis Jr.","1977"
"1228","28","Fly Like an Eagle","Steve Miller Band","1977"
"1229","29","Don't Give Up on Us","David Soul","1977"
"1230","30","On and On","Stephen Bishop","1977"
"1231","31","Feels Like the First Time","Foreigner","1977"
"1232","32","Couldn't Get It Right","Climax Blues Band","1977"
"1233","33","Easy","Commodores","1977"
"1234","34","Right Time of the Night","Jennifer Warnes","1977"
"1235","35","I've Got Love on My Mind","Natalie Cole","1977"
"1236","36","Blinded by the Light","Manfred Mann's Earth Band","1977"
"1237","37","Looks Like We Made It","Barry Manilow","1977"
"1238","38","So in to You","Atlanta Rhythm Section","1977"
"1239","39","Dreams","Fleetwood Mac","1977"
"1240","40","Enjoy Yourself","The Jacksons","1977"
"1241","41","Dazz","Brick","1977"
"1242","42","I'm in You","Peter Frampton","1977"
"1243","43","Lucille","Kenny Rogers","1977"
"1244","44","The Things We Do for Love","10cc","1977"
"1245","45","Da Doo Ron Ron","Shaun Cassidy","1977"
"1246","46","Handy Man","James Taylor","1977"
"1247","47","Just a Song Before I Go","Crosby, Stills & Nash","1977"
"1248","48","You and Me","Alice Cooper","1977"
"1249","49","Swayin' to the Music (Slow Dancing)","Johnny Rivers","1977"
"1250","50","Lonely Boy","Andrew Gold","1977"
"1251","51","I Wish","Stevie Wonder","1977"
"1252","52","Don't Stop","Fleetwood Mac","1977"
"1253","53","Barracuda","Heart","1977"
"1254","54","Strawberry Letter 23","The Brothers Johnson","1977"
"1362","62","Peg","Steely Dan","1978"
"1255","55","Night Moves","Bob Seger & The Silver Bullet Band","1977"
"1256","56","You're My World","Helen Reddy","1977"
"1257","57","Heard It in a Love Song","The Marshall Tucker Band","1977"
"1258","58","Carry On Wayward Son","Kansas","1977"
"1259","59","New Kid in Town","Eagles","1977"
"1260","60","My Heart Belongs to Me","Barbra Streisand","1977"
"1261","61","After the Lovin'","Engelbert Humperdinck","1977"
"1262","62","Jet Airliner","Steve Miller Band","1977"
"1263","63","Stand Tall","Burton Cummings","1977"
"1264","64","Way Down","Elvis Presley","1977"
"1265","65","Weekend in New England","Barry Manilow","1977"
"1266","66","It Was Almost Like a Song","Ronnie Milsap","1977"
"1267","67","Smoke from a Distant Fire","Sanford-Townsend Band","1977"
"1268","68","Cold as Ice","Foreigner","1977"
"1269","69","Ariel","Dean Friedman","1977"
"1270","70","Lost Without Your Love","Bread","1977"
"1271","71","Star Wars Theme/Cantina Band","Meco","1977"
"1272","72","Float On","The Floaters","1977"
"1273","73","Jeans On","Lord David Dundas","1977"
"1274","74","Lido Shuffle","Boz Scaggs","1977"
"1275","75","Keep It Comin' Love","KC and the Sunshine Band","1977"
"1276","76","You Made Me Believe in Magic","Bay City Rollers","1977"
"1277","77","Livin' Thing","Electric Light Orchestra","1977"
"1278","78","Give a Little Bit","Supertramp","1977"
"1279","79","That's Rock 'n' Roll","Shaun Cassidy","1977"
"1280","80","Love So Right","Bee Gees","1977"
"1281","81","The Rubberband Man","The Spinners","1977"
"1282","82","I Never Cry","Alice Cooper","1977"
"1283","83","Nobody Does It Better","Carly Simon","1977"
"1284","84","High School Dance","The Sylvers","1977"
"1285","85","Love's Grown Deep","Kenny Nolan","1977"
"1286","86","Ain't Gonna Bump No More (With No Big Fat Woman)","Joe Tex","1977"
"1287","87","I Wanna Get Next to You","Rose Royce","1977"
"1288","88","Somebody to Love","Queen","1977"
"1289","89","Muskrat Love","Captain & Tennille","1977"
"1290","90","Walk This Way","Aerosmith","1977"
"1291","91","Cherchez La Femme","Dr. Buzzard's Original Savannah Band","1977"
"1292","92","Year of the Cat","Al Stewart","1977"
"1293","93","Boogie Nights","Heatwave","1977"
"1294","94","Go Your Own Way","Fleetwood Mac","1977"
"1295","95","Sorry Seems to Be the Hardest Word","Elton John","1977"
"1296","96","Don't Worry Baby","B.J. Thomas","1977"
"1297","97","Knowing Me, Knowing You","ABBA","1977"
"1298","98","How Much Love","Leo Sayer","1977"
"1299","99","Star Wars (Main Title)","London Symphony Orchestra","1977"
"1300","100","Devil's Gun","C.J. & Company","1977"
"1301","1","Shadow Dancing","Andy Gibb","1978"
"1302","2","Night Fever","Bee Gees","1978"
"1303","3","You Light Up My Life","Debby Boone","1978"
"1304","4","Stayin' Alive","Bee Gees","1978"
"1305","5","Kiss You All Over","Exile","1978"
"1306","6","How Deep Is Your Love","Bee Gees","1978"
"1307","7","Baby Come Back","Player","1978"
"1308","8","(Love Is) Thicker Than Water","Andy Gibb","1978"
"1309","9","Boogie Oogie Oogie","A Taste of Honey","1978"
"1310","10","Three Times a Lady","Commodores","1978"
"1311","11","Grease","Frankie Valli","1978"
"1312","12","I Go Crazy","Paul Davis","1978"
"1313","13","You're the One That I Want","John Travolta & Olivia Newton-John","1978"
"1314","14","Emotion","Samantha Sang","1978"
"1315","15","Lay Down Sally","Eric Clapton","1978"
"1316","16","Miss You","The Rolling Stones","1978"
"1317","17","Just the Way You Are","Billy Joel","1978"
"1318","18","With a Little Luck","Wings","1978"
"1319","19","If I Can't Have You","Yvonne Elliman","1978"
"1320","20","Dance, Dance, Dance (Yowsah, Yowsah, Yowsah)","Chic","1978"
"1321","21","Feels So Good","Chuck Mangione","1978"
"1322","22","Hot Child in the City","Nick Gilder","1978"
"1323","23","Love Is Like Oxygen","Sweet","1978"
"1324","24","It's a Heartache","Bonnie Tyler","1978"
"1325","25","We Will Rock You/We Are the Champions","Queen","1978"
"1326","26","Baker Street","Gerry Rafferty","1978"
"1327","27","Can't Smile Without You","Barry Manilow","1978"
"1328","28","Too Much, Too Little, Too Late","Johnny Mathis & Deniece Williams","1978"
"1329","29","Dance With Me","Peter Brown","1978"
"1330","30","Two Out of Three Ain't Bad","Meat Loaf","1978"
"1331","31","Jack And Jill","Raydio","1978"
"1332","32","Take a Chance on Me","ABBA","1978"
"1333","33","Sometimes When We Touch","Dan Hill","1978"
"1334","34","Last Dance","Donna Summer","1978"
"1335","35","Hopelessly Devoted to You","Olivia Newton-John","1978"
"1336","36","Hot Blooded","Foreigner","1978"
"1337","37","You're in My Heart (The Final Acclaim)","Rod Stewart","1978"
"1338","38","The Closer I Get to You","Roberta Flack & Donny Hathaway","1978"
"1339","39","Dust in the Wind","Kansas","1978"
"1340","40","Magnet and Steel","Walter Egan","1978"
"1341","41","Short People","Randy Newman","1978"
"1342","42","Use ta Be My Girl","The O'Jays","1978"
"1343","43","Our Love","Natalie Cole","1978"
"1344","44","Love Will Find a Way","Pablo Cruise","1978"
"1345","45","An Everlasting Love","Andy Gibb","1978"
"1346","46","Love Is in the Air","John Paul Young","1978"
"1347","47","Goodbye Girl","David Gates","1978"
"1348","48","Slip Slidin' Away","Paul Simon","1978"
"1349","49","The Groove Line","Heatwave","1978"
"1350","50","Thunder Island","Jay Ferguson","1978"
"1351","51","Imaginary Lover","Atlanta Rhythm Section","1978"
"1352","52","Still the Same","Bob Seger & The Silver Bullet Band","1978"
"1353","53","My Angel Baby","Toby Beau","1978"
"1354","54","Disco Inferno","The Trammps","1978"
"1355","55","On Broadway","George Benson","1978"
"1356","56","Come Sail Away","Styx","1978"
"1357","57","(Every Time I Turn Around) Back in Love Again","L.T.D.","1978"
"1358","58","This Time I'm in It for Love","Player","1978"
"1359","59","You Belong to Me","Carly Simon","1978"
"1360","60","Here You Come Again","Dolly Parton","1978"
"1361","61","Blue Bayou","Linda Ronstadt","1978"
"1363","63","You Needed Me","Anne Murray","1978"
"1364","64","Shame","Evelyn ""Champagne"" King","1978"
"1365","65","Reminiscing","Little River Band","1978"
"1366","66","Count On Me","Jefferson Starship","1978"
"1367","67","Baby Hold On","Eddie Money","1978"
"1368","68","Hey Deanie","Shaun Cassidy","1978"
"1369","69","Summer Nights","John Travolta & Olivia Newton-John","1978"
"1370","70","What's Your Name","Lynyrd Skynyrd","1978"
"1371","71","Don't It Make My Brown Eyes Blue","Crystal Gayle","1978"
"1372","72","Because the Night","Patti Smith Group","1978"
"1373","73","Every Kinda People","Robert Palmer","1978"
"1374","74","Copacabana","Barry Manilow","1978"
"1375","75","Always and Forever","Heatwave","1978"
"1376","76","You and I","Rick James","1978"
"1377","77","Serpentine Fire","Earth, Wind & Fire","1978"
"1378","78","Sentimental Lady","Bob Welch","1978"
"1379","79","Falling","LeBlanc & Carr","1978"
"1380","80","Don't Let Me Be Misunderstood","Santa Esmeralda","1978"
"1381","81","Bluer Than Blue","Michael Johnson","1978"
"1382","82","Running on Empty","Jackson Browne","1978"
"1383","83","Whenever I Call You 'Friend'","Kenny Loggins & Stevie Nicks","1978"
"1384","84","Fool (If You Think It's Over)","Chris Rea","1978"
"1385","85","Get Off","Foxy","1978"
"1386","86","Sweet Talkin' Woman","Electric Light Orchestra","1978"
"1387","87","Life's Been Good","Joe Walsh","1978"
"1388","88","I Love the Nightlife","Alicia Bridges","1978"
"1389","89","You Can't Turn Me Off (In The Middle Of Turning Me On)","High Inergy","1978"
"1390","90","It's So Easy","Linda Ronstadt","1978"
"1391","91","Native New Yorker","Odyssey","1978"
"1392","92","Flash Light","Parliament","1978"
"1393","93","Don't Look Back","Boston","1978"
"1394","94","Turn to Stone","Electric Light Orchestra","1978"
"1395","95","I Can't Stand the Rain","Eruption","1978"
"1396","96","Ebony Eyes","Bob Welch","1978"
"1397","97","The Name of the Game","ABBA","1978"
"1398","98","We're All Alone","Rita Coolidge","1978"
"1399","99","Hollywood Nights","Bob Seger & The Silver Bullet Band","1978"
"1400","100","Deacon Blues","Steely Dan","1978"
"1401","1","My Sharona","The Knack","1979"
"1402","2","Bad Girls","Donna Summer","1979"
"1403","3","Le Freak","Chic","1979"
"1404","4","Da Ya Think I'm Sexy?","Rod Stewart","1979"
"1405","5","Reunited","Peaches & Herb","1979"
"1406","6","I Will Survive","Gloria Gaynor","1979"
"1407","7","Hot Stuff","Donna Summer","1979"
"1408","8","Y.M.C.A.","Village People","1979"
"1409","9","Ring My Bell","Anita Ward","1979"
"1410","10","Sad Eyes","Robert John","1979"
"1411","11","Too Much Heaven","Bee Gees","1979"
"1412","12","MacArthur Park","Donna Summer","1979"
"1413","13","When You're in Love with a Beautiful Woman","Dr. Hook","1979"
"1414","14","Makin' It","David Naughton","1979"
"1415","15","Fire","The Pointer Sisters","1979"
"1416","16","Tragedy","Bee Gees","1979"
"1417","17","A Little More Love","Olivia Newton-John","1979"
"1418","18","Heart of Glass","Blondie","1979"
"1419","19","What a Fool Believes","The Doobie Brothers","1979"
"1420","20","Good Times","Chic","1979"
"1421","21","You Don't Bring Me Flowers","Neil Diamond & Barbra Streisand","1979"
"1422","22","Knock on Wood","Amii Stewart","1979"
"1423","23","Stumblin' In","Suzi Quatro & Chris Norman","1979"
"1424","24","Lead Me On","Maxine Nightingale","1979"
"1425","25","Shake Your Body (Down to the Ground)","The Jacksons","1979"
"1426","26","Don't Cry Out Loud","Melissa Manchester","1979"
"1427","27","The Logical Song","Supertramp","1979"
"1428","28","My Life","Billy Joel","1979"
"1429","29","Just When I Needed You Most","Randy VanWarmer","1979"
"1430","30","You Can't Change That","Raydio","1979"
"1431","31","Shake Your Groove Thing","Peaches & Herb","1979"
"1432","32","I'll Never Love This Way Again","Dionne Warwick","1979"
"1433","33","Love You Inside Out","Bee Gees","1979"
"1434","34","I Want You to Want Me","Cheap Trick","1979"
"1435","35","The Main Event/Fight","Barbra Streisand","1979"
"1436","36","Mama Can't Buy You Love","Elton John","1979"
"1437","37","I Was Made for Dancin'","Leif Garrett","1979"
"1438","38","After the Love Has Gone","Earth, Wind & Fire","1979"
"1439","39","Heaven Knows","Donna Summer and Brooklyn Dreams","1979"
"1440","40","The Gambler","Kenny Rogers","1979"
"1441","41","Lotta Love","Nicolette Larson","1979"
"1442","42","Lady","Little River Band","1979"
"1443","43","Heaven Must Have Sent You","Bonnie Pointer","1979"
"1444","44","Hold the Line","Toto","1979"
"1445","45","He's the Greatest Dancer","Sister Sledge","1979"
"1446","46","Sharing the Night Together","Dr. Hook & The Medicine Show","1979"
"1447","47","She Believes in Me","Kenny Rogers","1979"
"1448","48","In the Navy","Village People","1979"
"1449","49","Music Box Dancer","Frank Mills","1979"
"1450","50","The Devil Went Down to Georgia","The Charlie Daniels Band","1979"
"1451","51","Gold","John Stewart","1979"
"1452","52","Goodnight Tonight","Wings","1979"
"1453","53","We Are Family","Sister Sledge","1979"
"1454","54","Rock 'n' Roll Fantasy","Bad Company","1979"
"1455","55","Every 1's a Winner","Hot Chocolate","1979"
"1456","56","Take Me Home","Cher","1979"
"1457","57","Boogie Wonderland","Earth, Wind & Fire & The Emotions","1979"
"1458","58","(Our Love) Don't Throw It All Away","Andy Gibb","1979"
"1459","59","What You Won't Do for Love","Bobby Caldwell","1979"
"1460","60","New York Groove","Ace Frehley","1979"
"1461","61","Sultans of Swing","Dire Straits","1979"
"1462","62","I Want Your Love","Chic","1979"
"1463","63","Chuck E.'s In Love","Rickie Lee Jones","1979"
"1464","64","I Love the Nightlife","Alicia Bridges","1979"
"1465","65","Ain't No Stoppin' Us Now","McFadden & Whitehead","1979"
"1466","66","Lonesome Loser","Little River Band","1979"
"1467","67","Renegade","Styx","1979"
"1468","68","Love Is the Answer","England Dan & John Ford Coley","1979"
"1469","69","Got to Be Real","Cheryl Lynn","1979"
"1470","70","Born to Be Alive","Patrick Hernandez","1979"
"1471","71","Shine a Little Love","Electric Light Orchestra","1979"
"1472","72","I Just Fall in Love Again","Anne Murray","1979"
"1473","73","Shake It","Ian Matthews","1979"
"1474","74","I Was Made for Lovin' You","KISS","1979"
"1475","75","I Just Wanna Stop","Gino Vannelli","1979"
"1476","76","Disco Nights (Rock-Freak)","GQ","1979"
"1477","77","Ooo Baby Baby","Linda Ronstadt","1979"
"1478","78","September","Earth, Wind & Fire","1979"
"1479","79","Time Passages","Al Stewart","1979"
"1480","80","Rise","Herb Alpert","1979"
"1481","81","Don't Bring Me Down","Electric Light Orchestra","1979"
"1482","82","Promises","Eric Clapton","1979"
"1483","83","Get Used to It","Roger Voudouris","1979"
"1484","84","How Much I Feel","Ambrosia","1979"
"1485","85","Suspicions","Eddie Rabbitt","1979"
"1486","86","You Take My Breath Away","Rex Smith","1979"
"1487","87","How You Gonna See Me Now","Alice Cooper","1979"
"1488","88","Double Vision","Foreigner","1979"
"1489","89","Everytime I Think of You","The Babys","1979"
"1490","90","I Got My Mind Made Up (You Can Get It Girl)","Instant Funk","1979"
"1491","91","Don't Stop 'til You Get Enough","Michael Jackson","1979"
"1492","92","Bad Case of Loving You (Doctor, Doctor)","Robert Palmer","1979"
"1493","93","Somewhere in the Night","Barry Manilow","1979"
"1494","94","We've Got Tonight","Bob Seger & The Silver Bullet Band","1979"
"1495","95","Dance the Night Away","Van Halen","1979"
"1496","96","Dancin' Shoes","Nigel Olsson","1979"
"1497","97","The Boss","Diana Ross","1979"
"1498","98","Sail On","Commodores","1979"
"1499","99","I Do Love You","GQ","1979"
"1500","100","Strange Way","Firefall","1979"
"1501","1","Call Me","Blondie","1980"
"1502","2","Another Brick in the Wall, Part II","Pink Floyd","1980"
"1503","3","Magic","Olivia Newton-John","1980"
"1504","4","Rock with You","Michael Jackson","1980"
"1505","5","Do That to Me One More Time","Captain & Tennille","1980"
"1506","6","Crazy Little Thing Called Love","Queen","1980"
"1507","7","Coming Up","Paul McCartney","1980"
"1508","8","Funkytown","Lipps Inc","1980"
"1509","9","It's Still Rock and Roll to Me","Billy Joel","1980"
"1510","10","The Rose","Bette Midler","1980"
"1511","11","Escape (The Piña Colada Song)","Rupert Holmes","1980"
"1512","12","Cars","Gary Numan","1980"
"1513","13","Cruisin","Smokey Robinson","1980"
"1514","14","Working My Way Back to You/Forgive Me, Girl","The Spinners","1980"
"1515","15","Lost in Love","Air Supply","1980"
"1516","16","Little Jeannie","Elton John","1980"
"1517","17","Ride Like the Wind","Christopher Cross","1980"
"1518","18","Upside Down","Diana Ross","1980"
"1519","19","Please Don't Go","KC and the Sunshine Band","1980"
"1520","20","Babe","Styx","1980"
"1521","21","With You I'm Born Again","Billy Preston and Syreeta","1980"
"1522","22","Shining Star","The Manhattans","1980"
"1523","23","Still","Commodores","1980"
"1524","24","Yes, I'm Ready","Teri DeSario & KC","1980"
"1525","25","Sexy Eyes","Dr. Hook","1980"
"1526","26","Steal Away","Robbie Dupree","1980"
"1527","27","Biggest Part of Me","Ambrosia","1980"
"1528","28","This Is It","Kenny Loggins","1980"
"1529","29","Cupid/I've Loved You for a Long Time","The Spinners","1980"
"1530","30","Let's Get Serious","Jermaine Jackson","1980"
"1531","31","Don't Fall in Love with a Dreamer","Kenny Rogers & Kim Carnes","1980"
"1532","32","Sailing","Christopher Cross","1980"
"1533","33","Longer","Dan Fogelberg","1980"
"1534","34","Coward of the County","Kenny Rogers","1980"
"1535","35","Ladies' Night","Kool & the Gang","1980"
"1536","36","Too Hot","Kool & the Gang","1980"
"1537","37","Take Your Time (Do It Right)","The SOS Band","1980"
"1538","38","No More Tears (Enough Is Enough)","Barbra Streisand & Donna Summer","1980"
"1539","39","More Love","Kim Carnes","1980"
"1540","40","Pop Muzik","M","1980"
"1541","41","Brass in Pocket","The Pretenders","1980"
"1542","42","Special Lady","Ray, Goodman & Brown","1980"
"1543","43","Send One Your Love","Stevie Wonder","1980"
"1544","44","The Second Time Around","Shalamar","1980"
"1545","45","We Don't Talk Anymore","Cliff Richard","1980"
"1546","46","Stomp!","The Brothers Johnson","1980"
"1547","47","Heartache Tonight","Eagles","1980"
"1548","48","Tired of Toein' the Line","Rocky Burnette","1980"
"1549","49","Better Love Next Time","Dr. Hook","1980"
"1550","50","Him","Rupert Holmes","1980"
"1551","51","Against the Wind","Bob Seger and the Silver Bullet Band","1980"
"1552","52","On the Radio","Donna Summer","1980"
"1553","53","Emotional Rescue","The Rolling Stones","1980"
"1554","54","Rise","Herb Alpert","1980"
"1555","55","All Out of Love","Air Supply","1980"
"1556","56","Cool Change","Little River Band","1980"
"1557","57","You're Only Lonely","J.D. Souther","1980"
"1558","58","Desire","Andy Gibb","1980"
"1559","59","Let My Love Open the Door","Pete Townshend","1980"
"1560","60","Romeo's Tune","Steve Forbert","1980"
"1561","61","Daydream Believer","Anne Murray","1980"
"1562","62","I Can't Tell You Why","Eagles","1980"
"1563","63","Don't Let Go","Isaac Hayes","1980"
"1564","64","Don't Do Me Like That","Tom Petty and the Heartbreakers","1980"
"1565","65","She's Out of My Life","Michael Jackson","1980"
"1566","66","Fame","Irene Cara","1980"
"1567","67","Fire Lake","Bob Seger and the Silver Bullet Band","1980"
"1568","68","How Do I Make You","Linda Ronstadt","1980"
"1569","69","Into the Night","Benny Mardones","1980"
"1570","70","Let Me Love You Tonight","Pure Prairie League","1980"
"1571","71","Misunderstanding","Genesis","1980"
"1572","72","An American Dream","The Dirt Band","1980"
"1573","73","One Fine Day","Carole King","1980"
"1574","74","Dim All the Lights","Donna Summer","1980"
"1575","75","You May Be Right","Billy Joel","1980"
"1576","76","Should've Never Let You Go","Neil & Dara Sedaka","1980"
"1577","77","Pilot of the Airwaves","Charlie Dore","1980"
"1578","78","Hurt So Bad","Linda Ronstadt","1980"
"1579","79","Off the Wall","Michael Jackson","1980"
"1580","80","I Pledge My Love","Peaches & Herb","1980"
"1581","81","The Long Run","Eagles","1980"
"1582","82","Stand by Me","Mickey Gilley","1980"
"1583","83","Heartbreaker","Pat Benatar","1980"
"1584","84","Déjà Vu","Dionne Warwick","1980"
"1585","85","Drivin' My Life Away","Eddie Rabbitt","1980"
"1586","86","Take the Long Way Home","Supertramp","1980"
"1587","87","Sara","Fleetwood Mac","1980"
"1588","88","Wait for Me","Hall & Oates","1980"
"1589","89","Jojo","Boz Scaggs","1980"
"1590","90","September Morn","Neil Diamond","1980"
"1591","91","Give Me the Night","George Benson","1980"
"1592","92","Broken Hearted Me","Anne Murray","1980"
"1593","93","You Decorated My Life","Kenny Rogers","1980"
"1594","94","Tusk","Fleetwood Mac","1980"
"1595","95","I Wanna Be Your Lover","Prince","1980"
"1596","96","In America","Charlie Daniels Band","1980"
"1597","97","Breakdown Dead Ahead","Boz Scaggs","1980"
"1598","98","Ships","Barry Manilow","1980"
"1599","99","All Night Long","Joe Walsh","1980"
"1600","100","Refugee","Tom Petty and the Heartbreakers","1980"
"1601","1","Bette Davis Eyes","Kim Carnes","1981"
"1602","2","Endless Love","Diana Ross & Lionel Richie","1981"
"1603","3","Lady","Kenny Rogers","1981"
"1604","4","(Just Like) Starting Over","John Lennon","1981"
"1605","5","Jessie's Girl","Rick Springfield","1981"
"1606","6","Celebration","Kool & the Gang","1981"
"1607","7","Kiss on My List","Hall & Oates","1981"
"1608","8","I Love a Rainy Night","Eddie Rabbitt","1981"
"1609","9","9 To 5","Dolly Parton","1981"
"1610","10","Keep on Loving You","REO Speedwagon","1981"
"1611","11","Theme from The Greatest American Hero (Believe It or Not)","Joey Scarbury","1981"
"1612","12","Morning Train (Nine to Five)","Sheena Easton","1981"
"1613","13","Being with You","Smokey Robinson","1981"
"1614","14","Queen of Hearts","Juice Newton","1981"
"1615","15","Rapture","Blondie","1981"
"1616","16","A Woman Needs Love (Just Like You Do)","Raydio","1981"
"1617","17","The Tide Is High","Blondie","1981"
"1618","18","Just the Two of Us","Grover Washington, Jr. & Bill Withers","1981"
"1619","19","Slow Hand","The Pointer Sisters","1981"
"1620","20","I Love You","Climax Blues Band","1981"
"1621","21","Woman","John Lennon","1981"
"1622","22","Sukiyaki","A Taste of Honey","1981"
"1623","23","The Winner Takes It All","ABBA","1981"
"1624","24","Stars on 45 Medley","Stars on 45","1981"
"1625","25","Angel of the Morning","Juice Newton","1981"
"1626","26","Love on the Rocks","Neil Diamond","1981"
"1627","27","Every Woman in the World","Air Supply","1981"
"1628","28","The One That You Love","Air Supply","1981"
"1629","29","Guilty","Barbra Streisand & Barry Gibb","1981"
"1630","30","The Best of Times","Styx","1981"
"1631","31","Elvira","The Oak Ridge Boys","1981"
"1632","32","Take It on the Run","REO Speedwagon","1981"
"1633","33","(There's) No Gettin' Over Me","Ronnie Milsap","1981"
"1634","34","Living Inside Myself","Gino Vannelli","1981"
"1635","35","Woman in Love","Barbra Streisand","1981"
"1636","36","The Boy from New York City","The Manhattan Transfer","1981"
"1637","37","Urgent","Foreigner","1981"
"1638","38","Passion","Rod Stewart","1981"
"1639","39","Lady (You Bring Me Up)","Commodores","1981"
"1640","40","Crying","Don McLean","1981"
"1641","41","Hearts","Marty Balin","1981"
"1642","42","It's My Turn","Diana Ross","1981"
"1643","43","You Make My Dreams","Hall & Oates","1981"
"1644","44","I Don't Need You","Kenny Rogers","1981"
"1645","45","How 'Bout Us","Champaign","1981"
"1646","46","Hit Me with Your Best Shot","Pat Benatar","1981"
"1647","47","The Breakup Song (They Don't Write 'Em)","The Greg Kihn Band","1981"
"1648","48","Time","Alan Parsons Project","1981"
"1649","49","Hungry Heart","Bruce Springsteen","1981"
"1650","50","Sweetheart","Franke and the Knockouts","1981"
"1651","51","Somebody's Knockin'","Terri Gibbs","1981"
"1652","52","More Than I Can Say","Leo Sayer","1981"
"1653","53","Together","Tierra","1981"
"1654","54","Too Much Time on My Hands","Styx","1981"
"1655","55","What Are We Doin' in Love","Dottie West & Kenny Rogers","1981"
"1656","56","Who's Crying Now","Journey","1981"
"1657","57","De Do Do Do, De Da Da Da","The Police","1981"
"1658","58","This Little Girl","Gary U.S. Bonds","1981"
"1659","59","Stop Draggin' My Heart Around","Stevie Nicks & Tom Petty","1981"
"1660","60","Giving It Up for Your Love","Delbert McClinton","1981"
"1661","61","A Little in Love","Cliff Richard","1981"
"1662","62","America","Neil Diamond","1981"
"1663","63","Ain't Even Done with the Night","John Cougar","1981"
"1664","64","Arthur's Theme (Best That You Can Do)","Christopher Cross","1981"
"1665","65","Another One Bites the Dust","Queen","1981"
"1666","66","Games People Play","The Alan Parsons Project","1981"
"1667","67","I Can't Stand It","Eric Clapton","1981"
"1668","68","While You See a Chance","Steve Winwood","1981"
"1669","69","Master Blaster (Jammin')","Stevie Wonder","1981"
"1670","70","Hello Again","Neil Diamond","1981"
"1671","71","Don't Stand So Close to Me","The Police","1981"
"1672","72","Hey Nineteen","Steely Dan","1981"
"1673","73","I Ain't Gonna Stand for It","Stevie Wonder","1981"
"1674","74","All Those Years Ago","George Harrison","1981"
"1675","75","Step By Step","Eddie Rabbitt","1981"
"1676","76","The Stroke","Billy Squier","1981"
"1677","77","Feels So Right","Alabama","1981"
"1678","78","Sweet Baby","George Duke & Stanley Clarke","1981"
"1679","79","Same Old Lang Syne","Dan Fogelberg","1981"
"1680","80","Cool Love","Pablo Cruise","1981"
