rankid,rank,song,artist,year
"115","15","Strangers in the Night","Frank Sinatra","1966"
"116","16","We Can Work It Out","The Beatles","1966"
"117","17","Good Lovin'","The Young Rascals","1966"
"118","18","Winchester Cathedral","The New Vaudeville Band","1966"
"119","19","Hanky Panky","Tommy James and the Shondells","1966"
"120","20","When a Man Loves a Woman","Percy Sledge","1966"
"121","21","Paint It, Black","The Rolling Stones","1966"
"122","22","My Love","Petula Clark","1966"
"123","23","Lightnin' Strikes","Lou Christie","1966"
"124","24","Wild Thing","The Troggs","1966"
"125","25","Kicks","Paul Revere & the Raiders","1966"
"126","26","Sunshine Superman","Donovan","1966"
"127","27","Sunny","Bobby Hebb","1966"
"128","28","Paperback Writer","The Beatles","1966"
"129","29","See You In September","The Happenings","1966"
"130","30","You Keep Me Hangin' On","The Supremes","1966"
"131","31","Li'l Red Riding Hood","Sam the Sham and the Pharaohs","1966"
"132","32","Devil with a Blue Dress On/Good Golly Miss Molly","Mitch Ryder & the Detroit Wheels","1966"
"133","33","Good Vibrations","The Beach Boys","1966"
"134","34","A Groovy Kind of Love","The Mindbenders","1966"
"135","35","You Don't Have To Say You Love Me","Dusty Springfield","1966"
"136","36","Cool Jerk","The Capitols","1966"
"137","37","Born a Woman","Sandy Posey","1966"
"138","38","Red Rubber Ball","The Cyrkle","1966"
"139","39","B-A-B-Y","Carla Thomas","1966"
"140","40","Walk Away Renée","The Left Banke","1966"
"141","41","Daydream","The Lovin' Spoonful","1966"
"142","42","Time Won't Let Me","The Outsiders","1966"
"143","43","Hooray for Hazel","Tommy Roe","1966"
"144","44","Sweet Pea","Tommy Roe","1966"
"145","45","Bus Stop","The Hollies","1966"
"146","46","I'm Your Puppet","James & Bobby Purify","1966"
"147","47","I'm So Lonesome I Could Cry","B. J. Thomas","1966"
"148","48","Ain't Too Proud to Beg","The Temptations","1966"
"149","49","Dirty Water","The Standells","1966"
"150","50","Elusive Butterfly","Bob Lind","1966"
"151","51","I Am a Rock","Simon & Garfunkel","1966"
"152","52","Crying Time","Ray Charles","1966"
"153","53","Secret Agent Man","Johnny Rivers","1966"
"154","54","The Sound of Silence","Simon & Garfunkel","1966"
"155","55","Lady Godiva","Peter and Gordon","1966"
